year,district,month,Outbreak status,date,PCODE,month_num,sin_month,cos_month,monsoon_phase_First_Inter_Monsoon,monsoon_phase_SW_Monsoon,monsoon_phase_Second_Inter_Monsoon,monsoon_phase_NE_Monsoon,rainfall_mm,r3h,rfq,rain_lag1,rain_lag2,rfq_lag1,lat,lon,humidity,wind_speed,temp_lag1,humidity_lag1,wind_lag1,buffalo_density,livestock_density,nino34,nino34_lag3,iod_dmi,iod_dmi_lag2,neighbor_outbreak_lag1,neighbor_outbreak_count_lag1,neighbor_outbreak_fraction_lag1,neighbor_outbreak_lag2,Cases,Deaths,severity_score,severity_class
2020,Vavuniya,January,0,1/1/2020,LK44,1,0.49999999999999994,0.8660254037844387,0,0,0,1,18.7058824,856.658743333333,27.8344586666666,361.470589999999,325.32941,132.081855,8.7514,80.4971,82.15,2.94,25.88,87.03,3.2,3.467069289263557,26.295294817756204,27.15,27.2,0.173,0.835,0.0,0,0.0,0.0,1180,0,1195.0,HIGH
2020,Ampara,February,0,2/1/2020,LK52,2,0.8660254037844386,0.5000000000000001,0,0,0,1,27.013605,726.09072,28.383746,53.6666653,432.013614,30.3304866666666,7.2913,81.6722,78.01,4.23,26.94,78.62,3.96,4.504979451497396,18.39818587957644,27.12,27.22,0.054,0.243,0.0,0,0.0,0.0,360,0,375.0,MEDIUM
2020,Anuradhapura,February,0,2/1/2020,LK71,2,0.8660254037844386,0.5000000000000001,0,0,0,1,13.5999999,514.699253333333,51.46725,15.3063827,348.974468,25.337947,8.3114,80.4037,80.49,2.62,24.59,85.25,2.34,3.500759708180147,15.20072093290441,27.12,27.22,0.054,0.243,0.0,0,0.0,0.0,228,0,243.0,MEDIUM
2020,Badulla,February,0,2/1/2020,LK81,2,0.8660254037844386,0.5000000000000001,0,0,0,1,21.3936167,629.585136666666,30.0951266666666,63.393616,378.489348,36.1770643333333,6.9934,81.055,87.84,2.18,22.82,89.56,2.04,1.7607388496398926,15.47139024734497,27.12,27.22,0.054,0.243,0.0,0,0.0,0.0,15,0,20.0,LOW
2020,Batticaloa,February,0,2/1/2020,LK51,2,0.8660254037844386,0.5000000000000001,0,0,0,1,15.9756102,728.069133333333,27.3106193333333,23.0731707,479.329283,16.50923,7.717,81.7,78.01,4.23,26.94,78.62,3.96,15.223952720905173,52.0506802262931,27.12,27.22,0.054,0.243,0.0,0,0.0,0.0,304,0,309.0,MEDIUM
2020,Colombo,February,0,2/1/2020,LK11,2,0.8660254037844386,0.5000000000000001,0,0,0,1,24.5217385,387.304339999999,35.6040383333333,37.086957,182.521736,42.9900346666666,6.9271,79.8612,77.31,2.88,26.07,80.3,2.85,5.589587741427952,15.105919731987848,27.12,27.22,0.054,0.243,0.0,0,0.0,0.0,0,0,0.0,NONE
2020,Galle,February,0,2/1/2020,LK31,2,0.8660254037844386,0.5000000000000001,0,0,0,1,38.6481477,469.672843333333,41.1042313333333,71.962964,243.037045,54.975843,6.0535,80.221,76.88,2.73,27.48,77.53,2.84,5.122514997209821,12.039273216610862,27.12,27.22,0.054,0.243,0.0,0,0.0,0.0,0,0,0.0,NONE
2020,Gampaha,February,0,2/1/2020,LK12,2,0.8660254037844386,0.5000000000000001,0,0,0,1,15.06383,315.971656666666,29.910712,21.2127667,153.70213,35.9618923333333,7.0873,80.0144,77.31,2.88,26.07,80.3,2.85,3.637917911305147,24.30804981904872,27.12,27.22,0.054,0.243,0.0,0,0.0,0.0,0,0,0.0,NONE
2020,Hambantota,February,0,2/1/2020,LK33,2,0.8660254037844386,0.5000000000000001,0,0,0,1,30.4823536,400.57647,52.6614243333333,46.3882347,226.717643,42.5531843333333,6.1429,81.1212,80.37,5.15,26.93,81.84,4.84,13.289617538452148,23.965506553649902,27.12,27.22,0.054,0.243,0.0,0,0.0,0.0,0,0,0.0,NONE
2020,Jaffna,February,0,2/1/2020,LK41,2,0.8660254037844386,0.5000000000000001,0,0,0,1,12.1935488,400.225809999999,67.5370713333333,22.419354,225.258066999999,44.6099796666666,9.6615,80.0255,73.1,5.11,26.77,76.26,4.57,3.105426788330078,53.66145706176758,27.12,27.22,0.054,0.243,0.0,0,0.0,0.0,3109,0,3129.0,HIGH
