Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
UNFAO-LEG-366280,Lumpy skin disease,,35.081161,126.084902,"OB_127055 - 291-16, IMJASEO-GIL, IMJA-MYEON, SINAN-GUN, JEOLLANAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-31,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366298,Lumpy skin disease,,35.550838,126.65,"OB_127054 - 30-99, YONGHYEON 1-GIL, BUAN-MYEON, GOCHANG-GUN, JEOLLABUK-DO, REPUBLIC OF KOREA	",Republic of Korea,Asia,2023-10-31,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366281,Lumpy skin disease,,37.694927,126.487247,"OB_127053 - 62-2, GANGHWADONG-RO 726BEON-GIL, BUREUN-MYEON, GANGHWA-GUN, INCHEON, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-30,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366282,Lumpy skin disease,,38.008852,127.214541,"OB_127052 - 526, GAYEONG-RO, YEONGJUNG-MYEON, POCHEON-SI, GYEONGGI-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-30,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366283,Lumpy skin disease,,37.775575,127.214541,"OB_127051 - 17, GEUMGANG-RO 2223BEON-GIL, NAECHON-MYEON, POCHEON-SI, GYEONGGI-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-30,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366284,Lumpy skin disease,,35.343519,128.688077,"OB_127050 - 33-13, BONGGANGGASUL-RO 358BEON-GIL, DAESAN-MYEON, UICHANG-GU, CHANGWON-SI, GYEONGSANGNAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-30,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366285,Lumpy skin disease,,38.209355,127.290158,"OB_127049 - 78, SANGSA-RO, GALMAL-EUP, CHEORWON-GUN, GANGWON-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-29,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366286,Lumpy skin disease,,35.493913,126.501605,"OB_127048 - 201-36, GEUMPYEONG-GIL, HAERI-MYEON, GOCHANG-GUN, JEOLLABUK-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-29,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366287,Lumpy skin disease,,36.971688,126.613877,"OB_127047 - 546, SAMHWA-RI, SEONGMUN-MYEON, DANGJIN-SI, CHUNGCHEONGNAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-29,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366289,Lumpy skin disease,,38.079483,127.019591,"OB_127045 - 456-3, SAMGEO-RI, GUNNAM-MYEON, YEONCHEON-GUN, GYEONGGI-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-29,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366288,Lumpy skin disease,,35.002777,126.400605,"OB_127046 - 142-57, DONGMOKJANG-GIL, MANGUN-MYEON, MUAN-GUN, JEOLLANAM-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-28,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
UNFAO-LEG-366290,Lumpy skin disease,,38.307461,128.527322,"OB_127044 - 65-7, SAMPO-GIL, JUGWANG-MYEON, GOSEONG-GUN, GANGWON-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2023-10-28,2023-11-06,Domestic - Cattle,National authorities,,,Confirmed
