case_id,country,disease_type,report_date,latitude,longitude,species
526,Libya,LSD,2024-03-25,32.3055,13.1348,Domestic - Cattle
527,Libya,LSD,2024-03-25,32.4556,12.3925,Domestic - Cattle
528,Libya,LSD,2024-03-25,32.4557,12.4015,Domestic - Cattle
529,Libya,LSD,2024-03-25,32.4557,12.4018,Domestic - Cattle
530,Libya,LSD,2024-03-25,32.4552,12.5954,Domestic - Cattle
531,Libya,LSD,2024-03-17,32.4273,13.0678,Domestic - Cattle
532,Libya,LSD,2024-03-17,32.4303,13.0652,Domestic - Cattle
533,Libya,LSD,2024-03-17,32.4304,13.0687,Domestic - Cattle
534,Libya,LSD,2024-03-17,32.4257,13.0644,Domestic - Cattle
535,Russian Federation,LSD,2024-01-24,53.131974,90.533786,Domestic - Cattle
536,Libya,LSD,2024-01-22,32.2354,15.0706,Domestic - Cattle
537,Libya,LSD,2024-01-22,32.2422,15.0648,Domestic - Cattle
538,Russian Federation,LSD,2023-12-27,53.5188,91.31,Domestic - Cattle
539,Libya,LSD,2024-01-22,32.7619,21.7482,Domestic - Cattle
540,Russian Federation,LSD,2023-12-27,53.5891,91.4006,Domestic - Cattle
541,Libya,LSD,2024-01-22,32.7619,21.7482,Domestic - Cattle
542,Russian Federation,LSD,2023-12-21,53.623183,91.281975,Domestic - Cattle
543,Libya,LSD,2024-01-22,32.7614,21.7482,Domestic - Cattle
544,Russian Federation,LSD,2023-12-27,54.326387,90.891549,Domestic - Cattle
545,Libya,LSD,2023-11-30,32.8422,21.6322,Domestic - Cattle
546,Russian Federation,LSD,2023-12-05,54.245072,90.632123,Domestic - Cattle
547,Russian Federation,LSD,2023-11-27,54.320336,90.763228,Domestic - Cattle
548,Republic of Korea,LSD,2023-11-27,36.626786,128.503872,Domestic - Cattle
549,Republic of Korea,LSD,2023-11-27,38.386713,128.421391,Domestic - Cattle
550,Republic of Korea,LSD,2023-11-27,35.495302,126.488433,Domestic - Cattle
551,Republic of Korea,LSD,2023-11-27,36.721561,127.460027,Domestic - Cattle
552,Republic of Korea,LSD,2023-11-27,36.290402,126.885716,Domestic - Cattle
553,Republic of Korea,LSD,2023-11-27,35.687938,127.273625,Domestic - Cattle
